Date,Budget,Actuals,Variance,Variance_%
2022-01-31,100000.0,99673.05113112046,-326.9488688795391,-0.0032694886887953906
2022-02-28,102000.0,102718.70103914835,718.7010391483491,0.007046088619101462
2022-03-31,104040.0,113683.31423155,9643.31423155,0.09268852587033834
2022-04-30,106120.80000000002,117174.31849750872,11053.518497508703,0.10415977355531339
2022-05-31,108243.216,119334.00568058329,11090.789680583286,0.10246175317428934
2022-06-30,110408.08032000001,112913.05526806656,2504.9749480665487,0.022688329883159664
2022-07-31,112616.2419264,108890.83755077845,-3725.404375621554,-0.03308052472623159
2022-08-31,114868.56676492801,113370.6968935852,-1497.869871342802,-0.013039858627365897
2022-09-30,117165.93810022657,111706.12921578858,-5459.808884437996,-0.046598943114060536
2022-10-31,119509.25686223111,117004.35462471885,-2504.9022375122586,-0.020959901377345866
2022-11-30,121899.44199947573,117363.89405962039,-4535.547939855343,-0.037207290414625935
2022-12-31,124337.43083946525,122354.97414744845,-1982.4566920168,-0.015944166439922608
2023-01-31,126824.17945625455,122182.06941169969,-4642.110044554865,-0.0366027209043057
2023-02-28,129360.66304537965,128153.9932312217,-1206.6698141579545,-0.009327950133764043
2023-03-31,131947.87630628725,147777.56022513146,15829.68391884421,0.11996922089218903
2023-04-30,134586.833832413,146160.16689544535,11573.333063032362,0.0859915694089619
2023-05-31,137278.57050906125,146795.87315283067,9517.30264376942,0.06932839268705249
2023-06-30,140024.14191924248,142932.2233640473,2908.0814448048186,0.02076842896478541
2023-07-31,142824.62475762735,136295.0480751636,-6529.576682463754,-0.04571744328783928
2023-08-31,145681.1172527799,131892.48346864025,-13788.633784139645,-0.0946494236464028
2023-09-30,148594.7395978355,141389.2647482575,-7205.474849577993,-0.048490780151970815
2023-10-31,151566.6343897922,143067.59214280828,-8499.04224698391,-0.056074625402886887
2023-11-30,154597.96707758805,157093.37877590043,2495.411698312382,0.016141296974882022
2023-12-31,157689.9264191398,151399.83973459332,-6290.086684546492,-0.03988895693836169
2024-01-31,160843.72494752263,163412.81945761855,2569.0945100959216,0.01597261261472353
2024-02-29,164060.59944647306,166349.26793931704,2288.668492843979,0.013950140987938347
2024-03-31,167341.81143540252,177584.79255405432,10242.981118651805,0.06120993331427999
2024-04-30,170688.64766411058,176264.3981490326,5575.750484922028,0.03266620575666087
2024-05-31,174102.4206173928,182830.7453905918,8728.324773198983,0.050133276391259
2024-06-30,177584.46902974066,175211.06951153692,-2373.399518203747,-0.013364904775576213
2024-07-31,181136.15841033548,177474.38674511688,-3661.7716652186064,-0.020215575384586872
2024-08-31,184758.88157854218,181775.9300579618,-2982.951520580362,-0.016145104879909604
2024-09-30,188454.05921011302,175361.74351841205,-13092.315691700962,-0.06947218726185118
2024-10-31,192223.1403943153,185041.77078664297,-7181.369607672328,-0.0373595478304063
2024-11-30,196067.6032022016,184860.3079704456,-11207.295231755998,-0.057160362286869396
2024-12-31,199988.95526624564,205020.32918545802,5031.373919212376,0.025158258927419762
